28436;Aberthol;sacrifice AB-OWEN;Male;Welsh;4
28437;Aberto;Italian form of Albert (noble);Male;Italian;2000
28438;Abetzi;Omaha name meaning &quot, yellow leaf.&quot,;Female;Native;7
28439;Abey;Omaha name meaning &quot, leaf.&quot,;Female;Native;5000
28440;Abeytu;Omaha name meaning &quot, green leaf.&quot,;Female;Native;7
28441;Abhainn;River;Male;Scottish;44
28442;Abhainn, Aibne;river ACAIR, AKIR, ACAISEID;Male;Scottish;0
28443;Abhaya;has no fear;Male;Indian;1000
28444;Abhimanyu;myth name (killed by Lakshmana);Male;Indian;9000
28445;Abhirati;myth name (mother of five hundred children, a mother goddess);Female;Indian;4
28446;Abhy;Gives joy;Female;Hebrew;1000
28447;Abia;Great;Female;Arabic;11000
28448;Abiageal;Irish form of Abigail (brings joy) ADARA, ATHDARA;Female;Irish;8
28449;Abiageal;Irish form of Abigail brings joy;Female;Irish;8
28450;Abiah;my father is the Lord;Male;Hebrew;185
28451;Abichail;Gives joy;Female;Hebrew;9
28452;Abida;&quot,She who worships&quot,, also a Hebrew name meaning &quot,my father knows.&quot,;Female;Arabic;3000
28453;Abida;God knows;Male;Hebrew;3000
28454;Abiel;my father is God;Male;Hebrew;2000
28455;Abigail;&quot,Father rejoices.&quot,Some variants include Abagail, Abaigeal, Abbey, Abbie, and Abby. Diminutive, Gail, also exists.;Female;Hebrew;129000
28456;Abigail;Gives joy: My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.;Female;Hebrew;129000
28457;Abigall;"""Fathers joy. Alternate Spellings: Abegale, Abgail, Abigale.""";Female;Hebrew;12
28458;Abijah;&quot,God is my father.&quot, Variants include Abisha, and Abishah.;Female;Hebrew;433
28459;Abijah;the Lord is my father;Male;Hebrew;433
28460;Abimelech;Father is king;Male;Hebrew;110
28461;Abimelech;my father is king;Male;Hebrew;110
28462;Abir;Arabic name meaning &quot,fragrant, scent.&quot,Variant, Abeer, exists.;Female;Arabic;17000
28463;Abir;Arabic: The fragrant one. Hebrew: Strong.;Male;"""arabic,hebrew""";17000
28464;Abir;Fragrant;Female;Arabic;17000
28465;Abir;Strong;Male;Hebrew;17000
28466;Abiram;Father of heights;Male;Hebrew;484
28467;Abisha;gift of God.Variants include Abijah, and Abishai;Male;Hebrew;573
28468;Abisha;The Lord is my father;Male;Hebrew;573
28469;Abital;&quot,My father is dew.&quot, Variant, Avital, exists.;Female;Hebrew;93
28470;Abjaja;born of a lotus;Male;Indian;0
28471;Ablah;perfectly formed;Female;Arabic;248
28472;Able;Exhalation of breath. The second son of Adam in the bible. The variant Able is used as an English surname.;Male;Hebrew;28000
28473;Ablendan;blind;Male;Anglo;2
28474;Ablendan;Blind;Male;Anglo-Saxon;2
28475;Abner;father of light;Male;Hebrew;19000
28476;Abner;Father of light. In the bible King Saul's cousin and commander of his army. Abner was a valiant warrior and clever strategist.;Male;Hebrew;19000
28477;Abooksigun;Algonquin name meaning &quot, wildcat.&quot,;Male;Native;10
28478;Abooksigun;Wildcat (Algonquin);Male;Native American;10
28479;Abra;&quot,Example, lesson.&quot,Also a Hebrew name meaning &quot,parent of many.&quot,Variants include Abame, Abarrane, and Abrahana.;Female;Arabic;11000
28480;Abra;&quot,Parent of many.&quot,Also an Arabic name meaning &quot,example, lesson.&quot,Variants include Abame, Abarrane, and Abrahana.;Female;Hebrew;11000
28481;Abra;Lesson;Female;Arabic;11000
28482;Abra;Mother of many;Female;Hebrew;11000
28483;Abracham;Irish form of Abraham;Male;Irish;63
28484;Abracomas;name of a governor, meaning unknown;Male;Aramaic;0
28485;Abrafo;Ghanaian name meaning &quot,warrior&quot, or &quot,executioner.&quot,It is a nickname for a troublemaker or someone who is hyper.;Male;African;21
28486;Abraha;meaning unknown;Male;Arabic;1000
28487;Abraham;father of a multitude.Variants include Avraham, Aram, Abarron, and Avidor;Male;Hebrew;228000
28488;Abraham;Meaniing Father of a multitude Abraham the first of the Old Testament patriarchs. God changed it from Abram when He appointed him to be the father of the Hebrew nation.;Male;Hebrew;228000
28489;Abram;Exalted father. The biblical patriarch Abraham's name before God changed it.;Male;Hebrew;18000
28490;Abram;He who is high is father.Variants include Abe, Abey, Abie, Abramo, Avram, Avrom and Bram;Male;Hebrew;18000
28491;Abramo;Father of a multitude;Male;Hebrew;3000
28492;Abramo;Italian form of Abraham (father of many);Male;Italian;3000
28493;Abran;Variant of Abram meaning Exalted father.;Male;Spanish;2000
28494;Abrecan;storm;Male;Anglo;16
28495;Abrecan;Storm;Male;Anglo-Saxon;16
28496;Abriana;Variant of Italian.;Female;Italian;690
28497;Abrianna;Mother of many nations.;Female;Unknown;795
28498;Abriell;Variant of Gabrielle.;Male;Unknown;48
